Region,Sub-region,Country/territory,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Africa,Eastern Africa,Kenya,, 798 , 654 , 695 , 557 , 607 , 903 , 803 ," 1,269 "," 1,199 "," 1,157 "," 1,239 "," 1,111 ",,2.32,1.85,1.92,1.50,1.59,2.30,1.99,3.06,2.82,2.65,2.76,2.41
,,Madagascar,,,,,,,, 50 , 16 , 16 , 31 , 10 , 20 ,,,,,,,,0.24,0.07,0.07,0.14,0.04,0.08
,,Mauritius, 988 ," 1,105 ", 993 ," 1,005 ", 971 , 974 , 840 , 716 , 504 ,,,,,81.71,90.88,81.26,81.86,78.75,78.67,67.58,57.37,40.22,,,,
,,Uganda, 837 , 581 ," 1,641 "," 1,206 ", 954 ," 1,172 "," 1,042 "," 1,121 ", 495 , 926 , 623 , 641 ,,3.19,2.14,5.85,4.16,3.18,3.78,3.25,3.38,1.44,2.62,1.70,1.70,
,,United Republic of Tanzania,,,,,,,," 1,915 "," 3,003 "," 3,904 "," 5,159 "," 5,659 "," 5,805 ",,,,,,,,4.20,6.37,8.03,10.27,10.92,10.86
,,Zimbabwe," 1,051 "," 1,096 ", 650 , 533 , 391 , 444 ,,,,,,,,8.23,8.52,5.01,4.06,2.94,3.29,,,,,,,
,Middle Africa,Sao Tome and Principe,,,, -   , -   , -   , -   , -   , -   ,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,
,,Cameroon*,,,, 428 , 316 ,,, 808 ," 1,150 "," 1,332 "," 1,989 "," 1,944 "," 1,583 ",,,,2.30,1.66,,,3.92,5.45,6.15,8.95,8.54,6.78
,Northern Africa,Egypt," 1,994 "," 2,784 "," 3,047 "," 3,145 "," 3,533 "," 4,113 "," 3,914 "," 4,979 "," 20,231 ",,,,,2.76,3.78,4.07,4.12,4.55,5.21,4.87,6.07,24.15,,,,
,,Morocco," 6,978 "," 7,640 "," 7,506 "," 8,200 "," 8,668 "," 8,306 "," 8,282 ",,," 10,221 "," 3,072 ",,,23.41,25.39,24.70,26.72,27.95,26.49,26.11,,,30.99,9.18,,
,,Algeria*," 1,250 "," 1,096 "," 2,624 "," 2,035 "," 1,926 "," 2,190 "," 2,482 "," 2,247 "," 2,804 "," 3,778 "," 4,219 "," 5,033 "," 5,352 ",3.86,3.34,7.89,6.03,5.62,6.29,7.01,6.24,7.64,10.09,11.05,12.93,13.49
,Southern Africa,Botswana,,,,,,, 252 , 236 , 327 ,,, 317 ,,,,,,,,12.55,11.52,15.65,,,14.28,
,,Lesotho,,,,, 597 , 431 , 437 ,,,,,,,,,,,30.53,21.85,21.96,,,,,,
,,Swaziland, 341 , 307 ,,,,,,,,,,,,31.34,28.04,,,,,,,,,,,
,Western Africa,Cabo Verde,,,,,,,,,, 53 , 83 , 103 , 75 ,,,,,,,,,,10.58,16.36,20.04,14.41
,,Cote d'Ivoire,,,,," 2,898 "," 1,593 ",,,,,,,,,,,,15.36,8.27,,,,,,,
,,Guinea,,,,, 37 , 49 ,,,,,,,,,,,,0.36,0.47,,,,,,,
,,Nigeria,,,,," 2,137 "," 3,433 "," 1,265 "," 1,826 ",," 1,239 "," 2,043 ",,,,,,,1.45,2.27,0.82,1.15,,0.74,1.18,,
,,Senegal,,,,,,,,,,,,, 2 ,,,,,,,,,,,,,0.01
Americas,Caribbean,Bahamas,,, 846 ," 1,059 "," 1,171 "," 1,359 "," 1,088 "," 1,240 "," 1,330 "," 1,332 ",,,,,,256.95,315.37,342.14,389.86,306.67,343.65,362.68,357.69,,,
,,Barbados,, 107 , 121 , 115 , 97 , 77 , 92 , 110 , 91 , 68 , 59 , 92 , 111 ,,39.18,44.16,41.81,35.13,27.77,33.04,39.35,32.43,24.15,20.88,32.47,39.05
,,Dominican Republic,,," 2,585 "," 2,957 ",,,,,," 7,930 ",," 5,987 ",,,,27.98,31.55,,,,,,78.09,,57.53,
,,Grenada,,, -   , -   , -   , -   , -   , -   , -   , -   ,,, -   ,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00
,,Puerto Rico,,,,,," 7,003 "," 6,832 "," 6,769 "," 5,853 "," 5,847 "," 5,530 "," 4,639 "," 4,074 ",,,,,,187.84,183.73,182.47,158.10,158.21,149.84,125.84,110.61
,,St. Kitts and Nevis,,,,,,,,, 3 ,,,,,,,,,,,,,5.66,,,,
