Country/territory,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Kenya,,"3,120","3,210","3,080","2,304","2,483","2,638","2,318","2,573","2,871","2,460","2,259","2,266",,9.06,9.08,8.49,6.19,6.49,6.72,5.75,6.21,6.75,5.63,5.04,4.92
Mauritius,,,,,,,"1,190",933,714,,,,,,,,,,,95.74,74.76,56.98,,,,
Uganda,,,"2,058","2,375","2,632","9,723","7,686","7,525","6,002","5,687","5,530","5,300",,,,7.34,8.19,8.78,31.35,23.97,22.7,17.52,16.06,15.12,14.03,
United Republic of Tanzania,,,,,,,,"7,485","7,957","8,185","7,672","7,159","6,779",,,,,,,,16.4,16.89,16.83,15.28,13.81,12.68
Sao Tome and Principe,,,,2, -   ,2,5,16,20,,,,,,,,1.28,0,1.22,2.99,9.36,11.45,,,,
Cameroon*,,,,,,,,,918,398,376,304,237,,,,,,,,,4.35,1.84,1.69,1.33,1.02
Algeria,,,,,844,906,,,,,"3,274","8,868","9,459",,,,,2.46,2.6,,,,,8.57,22.78,23.85
Egypt,"5,673","6,586","6,156","5,836","6,414","7,272","7,982","7,468","9,257",,,,,7.85,8.95,8.21,7.65,8.26,9.21,9.92,9.1,11.05,,,,
Morocco,"6,596","6,308","6,373","7,200","7,782","7,466","8,001",,,,"5,364",,,22.12,20.96,20.97,23.46,25.09,23.81,25.23,,,,16.03,,
Sudan,,,,,,"4,691",,,,,,,,,,,,,13.78,,,,,,,
Botswana,,,,,,,"5,759","4,363","4,088",,,"2,851",,,,,,,,286.92,213.05,195.63,,,128.43,
Cabo Verde,,,,,,,,692,751,"1,266","1,081","1,184","1,594",,,,,,,,141.12,151.67,252.76,213.11,230.39,306.24
Guinea,,,,,533,,,,,,,,,,,,,5.25,,,,,,,,
Nigeria,,,,,"2,443","2,710","2,555","2,429",,"2,968","3,160",,,,,,,1.66,1.79,1.65,1.52,,1.76,1.83,,
Sierra Leone,,,,,"1,093","1,149",,,,,,,,,,,,20.27,20.81,,,,,,,
Bahamas,,,"2,255","2,628","2,510","2,726","2,668","3,133","3,242","2,891",,,,,,684.9,782.61,733.36,782.01,752.02,868.28,884.07,776.34,,,
Barbados,,"1,438","1,448","1,383","1,178","1,389","1,375","1,580","1,441","1,548","1,502","1,187","1,029",,526.56,528.44,502.84,426.57,500.87,493.78,565.16,513.54,549.75,531.68,418.87,362.05
Dominican Republic,,,,,,,,,,"3,731",,"3,810",,,,,,,,,,,36.74,,36.61,
Grenada,,,193,188,179,189,151,153,181,179,126,127,337,,,187.47,182.07,172.8,181.85,144.78,146.16,172.27,169.71,118.98,119.42,315.47
Jamaica,,,629,816,948,"1,451","2,318","2,418","2,378","2,298","1,800","1,796",936,,,23.49,30.32,35.05,53.4,84.92,88.21,86.4,83.17,64.91,64.53,33.51
St. Kitts and Nevis,,,,,,,465,520,502,,,,,,,,,,,899.12,993.28,947.21,,,,
