Region,Sub-region,Country/territory,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Africa,Eastern Africa,Burundi,,,,,, 341 , 376 , 347 , 349 , 451 , 416 , 436 ,,0.00,,,,,3.87,4.11,3.67,3.56,4.45,3.97,4.03,
,,Comoros,,, 58 ,,,,, 59 ,,,,, 60 ,0.00,,9.43,,,,,8.42,,,,,7.60
,,Djibouti,,, 63 ,,,,, 63 ,,,,, 60 ,0.00,,8.16,,,,,7.60,,,,,6.77
,,Eritrea,,, 382 ,,,,, 389 ,,,,, 390 ,0.00,,9.11,,,,,8.30,,,,,7.46
,,Ethiopia,,," 7,214 ",,,,," 7,419 ",,,,," 7,552 ",0.00,,9.42,,,,,8.47,,,,,7.60
,,Kenya,," 1,395 "," 1,260 "," 1,286 "," 1,281 "," 1,413 "," 2,218 "," 2,239 "," 2,641 "," 2,761 "," 2,878 "," 2,649 "," 2,648 ",0.00,4.05,3.56,3.54,3.44,3.69,5.65,5.55,6.38,6.49,6.59,5.90,5.75
,,Madagascar,, 130 , 326 , 872 , 582 , 610 , 141 , 130 ,,,,,,0.00,0.73,1.78,4.63,3.00,3.06,0.69,0.62,,,,,
,,Malawi, 300 , 411 , 200 , 821 , 690 , 780 , 320 , 520 , 343 , 279 ,,,,2.48,3.31,1.57,6.26,5.11,5.61,2.23,3.52,2.25,1.78,,,
,,Mauritius,,,,,,, 38 , 33 , 34 ,,,,,0.00,,,,,,3.06,2.64,2.71,,,,
,,Mayotte,,,, 1 , 27 , 5 , 12 ,,,,,,,0.00,,,0.54,14.20,2.55,5.93,,,,,,
,,Mozambique," 1,044 "," 1,130 "," 1,089 ", 894 , 849 , 995 , 823 , 875 , 849 ,,,,,5.24,5.51,5.15,4.11,3.80,4.33,3.48,3.60,3.39,,,,
,,Réunion,, 23 , 25 , 19 , 24 , 18 , 15 ,,,,,,,0.00,2.94,3.16,2.37,2.97,2.20,1.82,,,,,,
,,Rwanda,,,, 475 , 472 , 438 , 377 , 500 ,,, 500 ,,,0.00,,,5.15,4.98,4.49,3.76,4.86,,,4.51,,
,,Seychelles, 10 , 6 , 3 , 9 , 5 , 3 , 5 , 2 ,,,,,,11.66,6.87,3.38,10.01,5.50,3.27,5.41,2.15,,,,,
,,Somalia,,, 517 ,,,,, 636 ,,,,, 599 ,0.00,,6.10,,,,,6.64,,,,,5.56
,,Uganda," 2,136 "," 2,049 "," 2,492 "," 2,696 "," 2,645 "," 2,793 "," 3,233 "," 3,160 "," 3,753 "," 4,066 "," 3,857 "," 4,473 ",,8.15,7.56,8.89,9.30,8.82,9.01,10.08,9.53,10.95,11.49,10.55,11.84,
,,United Republic of Tanzania,,,,,,,," 3,888 "," 4,149 "," 4,092 "," 3,697 "," 3,902 "," 3,746 ",0.00,,,,,,,8.52,8.80,8.41,7.36,7.53,7.01
,,Zambia,,,,,, 694 , 812 , 814 ,,,,,,0.00,,,,,5.29,6.01,5.85,,,,,
,,Zimbabwe," 1,360 "," 1,356 "," 1,350 "," 1,072 ",,,, 711 ,, 981 ,,,,10.65,10.54,10.40,8.17,,,,5.09,,6.74,,,
,Middle Africa,Angola,,," 2,058 ",,,,," 2,227 ",,,,," 2,414 ",0.00,,11.49,,,,,10.49,,,,,9.65
,,Cameroon,,,,,, 776 ," 1,277 ", 999 , 710 , 868 , 636 , 601 ," 1,385 ",0.00,,,,,3.97,6.36,4.85,3.36,4.01,2.86,2.64,5.93
,,Central African Republic,,, 606 ,,,,, 606 ,,,,, 642 ,0.00,,14.94,,,,,13.63,,,,,13.09
,,Chad,,," 1,079 ",,,,," 1,151 ",,,,," 1,266 ",0.00,,10.72,,,,,9.68,,,,,9.02
,,Congo,,, 396 ,,,,, 433 ,,,,, 466 ,0.00,,11.29,,,,,10.65,,,,,10.08
,,Democratic Republic of the Congo,,," 8,021 ",,,,," 9,213 ",,,,," 10,322 ",0.00,,14.30,,,,,13.97,,,,,13.36
,,Equatorial Guinea,,, 22 ,,,,, 25 ,,,,, 27 ,0.00,,3.49,,,,,3.38,,,,,3.21
,,Gabon,,, 154 ,,,,, 143 ,,,,, 155 ,0.00,,11.21,,,,,9.27,,,,,9.00
,,Sao Tome and Principe,,,, 4 , 4 , 14 , 5 , 6 , 6 ,,,,,0.00,,,2.55,2.50,8.56,2.99,3.51,3.44,,,,
